sample	EV1	EV2	cluster
ARG0089	-0.020860042236245165	-0.015307326706984141	0
ARG0090	-0.020820021035710873	-0.014085924355778372	0
ARG0091	-0.021618959228628522	-0.012614849270932225	0
ARG0092	-0.02109974154458805	-2.2797198361422175e-4	0
ARG0093	-0.021733380857189004	-0.030963571970739956	0
ARG0094	-0.02064187060042838	-0.0027935076919547875	0
ARG0095	-0.02179761271382732	-0.023650434469025674	0
ARG0096	-0.021755951836099813	-0.011040012841931545	0
ARG0097	-0.02091876555440675	-0.009755133043227966	0
ARG0098	-0.02214225484935525	-0.02042826338070118	0
ARG0099	-0.02092916211299	-0.01787724938954218	0
ARG0100	-0.0212977927378995	0.0013599740555809937	0
ARG0101	-0.022137366355713	-0.0024442095793547917	0
ARG0102	-0.022291217601999723	-0.01837402614421339	0
ARG0103	-0.021285961696484345	1.2839185528056192e-4	0
ARG0104	-0.021149083743975908	-0.001233121911237093	0
ARG0105	-0.018120447107103643	-0.0023121794812688123	0
ARG0106	-0.02058046017432516	-0.003841275500554409	0
ARG0107	-0.022182041251127275	-1.9254740829326503e-5	0
ARG0108	-0.016270002717340172	-0.01586445054880857	0
ARG0109	-0.0216633307125795	-0.018310605689179502	0
ARG0110	-0.021858673583835336	-0.005051303231125502	0
ARG0111	-0.02229261649057439	-0.0038526942254269976	0
ARG0112	-0.021766992415365834	-0.010912759534581495	0
ARG0113	-0.019948977351091468	0.030630626826462934	0
ARG0114	-0.02171235022501321	-0.02189418823666569	0
ARG0115	-0.019893638166575356	0.02194527174730696	0
ARG0116	-0.022713913341683233	-0.0025498963937625107	0
ARG0117	-0.021252694157471184	-0.0029866191790116053	0
ARG0118	-0.01920111128397622	-0.012063635145199024	0
ARG0119	-0.02139682850648205	-0.022603368680679508	0
ARG0120	-0.021973758459968844	-0.0020538194271391037	0
ARG0121	0.11864767776977694	0.013785914807023469	1
ARG0122	0.1788176971641791	0.012033198006785269	1
ARG0123	0.12266248446245578	-0.004232222742280578	1
ARG0124	0.11634282883295366	-0.003127166347544695	1
ARG0125	0.11923425715105862	-0.002213172732068478	1
ARG0126	0.12130005573358739	0.014970627216437528	1
ARG0127	0.11693583716268809	0.005431024723543818	1
ARG0128	0.17280681773503503	0.020838337124358258	1
ARG0129	-0.02181499896347914	0.0011408951645498094	0
ARG0130	0.11754591006224277	-0.015796410782362075	1
ARG0131	-0.020700172409381858	-0.015794876549577487	0
ARG0132	0.1386071018944075	0.03709816381307517	1
ARG0133	-0.020281704198642884	-0.015543411260505515	0
ARG0134N	0.11994294146736857	-0.019221731299976657	1
ARG0135	-0.021525943631059495	-0.0013239660584431837	0
ARG0136N	-0.021373344734224035	-0.005225057090100487	0
ARG0137	-0.020425742872462578	-0.008643135832346976	0
ARG0138	-0.02134064630123598	-0.012324536872288974	0
ARG0139	-0.020277290585686118	-0.007049715407378247	0
ARG0140	0.2398648502805163	-0.005602830341677738	2
ARG0141	-0.021432359067948544	-0.010733804131144838	0
ARG0142	0.11875228655888628	-0.013632404879402723	1
ARG0143	0.24012241532636008	-0.0063620357504961395	2
ARG0144	-0.020060459147199106	-0.05417828493192552	0
ARG0145	0.027288044232756468	0.001989841910900381	0
ARG0146	-0.020539690599006066	-0.014936549165557202	0
ARG0147	0.0381983328644384	0.015865932265233133	0
ARG0148	-0.020903620121132383	-3.382305791148569e-4	0
ARG0149	0.03774810218610246	0.023248756222883138	0
ARG0150	-0.021434338212296494	-0.016403530736174968	0
ARG0151	-0.01992195949357721	0.0016875028971818128	0
ARG0152	-0.019446950005653506	0.01932228279527941	0
ARG0153	-0.021871619363474475	0.002732776225997564	0
ARG0154	-0.02133451881939978	-0.08407000713209534	0
ARG0155	0.039570489722374265	0.02449739912802558	0
ARG0156	-0.017699497493378364	0.026304610294319707	0
ARG0157	-0.020117282255781268	0.06251067175317049	0
ARG0158	-0.02174659820765409	-0.006082397287100003	0
